aX,aY,aZ,gX,gY,gZ
0.317,0.643,0.162,13.672,8.911,-41.382
0.335,0.690,0.180,21.301,7.996,-27.771
0.347,0.674,0.179,28.687,9.216,-19.592
0.354,0.594,0.202,25.757,8.362,-14.893
0.350,0.597,0.216,27.832,6.897,-4.028
0.352,0.671,0.243,24.292,6.470,11.719
0.376,0.746,0.250,31.555,6.042,25.146
0.398,0.825,0.309,35.889,4.272,39.612
0.384,0.887,0.262,57.068,5.920,53.040
0.380,0.984,0.172,44.861,10.498,68.176
0.378,1.148,0.146,23.132,8.240,77.942
0.385,1.238,0.183,12.451,-0.549,73.547
0.399,1.301,0.280,10.620,-7.874,53.589
0.398,1.184,0.324,1.831,-6.470,18.616
0.374,0.918,0.375,-7.141,-1.099,-12.451
0.340,0.694,0.406,-6.104,2.502,-21.484
0.293,0.656,0.432,-2.014,6.836,-8.667
0.276,0.792,0.432,2.747,12.939,13.611
0.291,0.875,0.440,20.935,19.287,30.762
0.329,0.974,0.351,47.180,28.809,40.222
0.394,1.010,0.212,35.706,41.992,46.082
0.420,1.007,0.133,40.100,45.837,38.269
0.413,0.926,0.141,27.100,38.635,24.963
0.401,0.772,0.201,17.212,30.457,9.888
0.379,0.578,0.277,2.991,24.780,0.793
0.413,0.621,0.307,17.395,20.996,10.925
0.390,0.716,0.369,16.418,18.250,29.114
0.323,0.838,0.367,1.709,21.729,43.701
0.320,0.941,0.337,19.958,29.541,56.152
0.430,1.009,0.234,15.747,39.612,61.646
0.408,1.095,0.065,17.456,50.354,60.120
0.397,1.168,-0.105,9.705,53.345,53.101
0.383,1.229,-0.225,6.165,41.443,40.283
0.377,1.223,-0.212,1.831,15.198,18.188
0.367,1.097,0.005,-1.648,-15.564,-6.042
0.369,0.896,0.232,5.432,-36.377,-22.766
0.355,0.860,0.347,0.977,-37.659,-21.362
0.366,0.886,0.379,-1.038,-28.931,-12.268
0.376,0.939,0.370,14.404,-20.325,-5.981
0.378,0.978,0.325,26.367,-12.207,-4.028
0.383,0.971,0.242,28.564,-6.470,-9.277
0.404,0.901,0.186,21.606,-7.080,-18.982
0.393,0.839,0.195,14.465,-13.489,-24.414
0.402,0.841,0.201,8.118,-19.653,-23.560
0.438,0.875,0.232,0.366,-26.184,-21.118
0.452,0.894,0.279,-5.737,-31.250,-20.630
0.407,0.892,0.273,-12.146,-29.602,-19.897
0.437,0.895,0.260,-26.306,-24.963,-17.822
0.507,0.914,0.212,-28.992,-24.048,-14.893
0.452,0.915,0.215,-24.353,-25.940,-17.151
0.431,0.882,0.268,-28.870,-34.363,-21.423
0.450,0.843,0.363,-23.437,-41.260,-24.353
0.483,0.802,0.437,-17.334,-41.809,-26.794
0.477,0.749,0.458,-13.550,-35.278,-29.968
0.522,0.679,0.415,-10.559,-24.597,-30.945
0.489,0.616,0.328,-5.432,-13.428,-28.625
0.512,0.598,0.240,3.784,-7.324,-17.029
0.482,0.653,0.169,13.062,-6.104,0.366
0.447,0.824,0.086,27.588,-6.775,21.729
0.459,1.009,0.059,34.668,-12.268,37.842
0.473,1.133,0.118,30.334,-24.719,38.940

1.388,1.528,0.387,-47.546,6.470,36.926
1.563,1.725,0.490,-44.556,8.606,29.663
1.763,1.778,0.569,-39.001,15.198,14.343
1.985,1.792,0.594,-35.767,26.428,0.854
2.259,1.886,0.505,-32.654,42.480,-3.357
2.528,2.141,0.527,-21.973,52.002,-2.686
2.748,2.470,0.835,0.000,50.110,-8.179
2.975,2.601,1.211,53.223,52.307,-38.818
3.082,2.159,1.003,112.915,96.313,-106.445
3.007,1.257,-0.065,115.051,171.082,-184.570
2.784,0.232,-1.469,33.813,224.731,-240.723
2.474,-0.921,-2.770,-90.454,221.436,-271.973
2.086,-2.078,-3.498,-164.246,148.682,-266.479
1.334,-3.166,-3.476,-152.161,34.790,-228.516
0.349,-3.979,-3.072,-94.177,-64.758,-153.992
-0.879,-3.967,-2.654,-13.123,-140.076,-15.991
-2.258,-2.363,-1.759,29.480,-208.862,166.199
-3.635,-0.023,-0.305,69.702,-288.086,307.495
-4.000,1.330,0.286,106.262,-317.627,333.252
-4.000,0.866,-0.048,41.016,-297.180,264.832
-4.000,0.016,1.032,-68.115,-358.826,246.460
-4.000,1.075,3.210,-172.302,-468.018,367.798
-4.000,3.905,4.000,-240.051,-515.991,583.252
-4.000,4.000,4.000,-217.834,-487.976,766.907
-3.981,4.000,4.000,-19.531,-450.195,744.263
-3.031,4.000,4.000,292.358,-212.524,219.543
-4.000,2.226,4.000,275.146,468.628,-636.475
-4.000,-3.724,-1.944,-1.465,1076.538,-1165.466
-4.000,-4.000,-4.000,-480.652,1068.542,-1140.930
-2.504,-4.000,-4.000,-606.323,581.421,-697.205
-1.396,-4.000,-3.845,-253.357,165.588,-103.088
-0.776,-1.294,-2.220,-80.200,3.174,326.050
-0.313,0.908,-2.016,-16.724,8.179,397.156
-0.161,1.470,-2.318,2.441,28.076,299.805
-0.095,1.227,-2.180,28.625,-6.714,175.903
0.042,1.350,-1.136,71.960,-90.820,125.183
0.072,1.784,-0.053,114.197,-152.710,122.314
0.097,2.017,0.598,119.385,-144.836,91.919
0.114,1.763,0.791,83.740,-92.651,27.832
0.094,1.240,0.678,45.593,-41.748,-25.024
0.063,0.865,0.484,23.071,-10.864,-45.105
0.076,0.657,0.451,6.287,0.916,-44.067
0.070,0.520,0.548,-5.493,5.798,-37.415
0.041,0.471,0.476,-9.216,20.142,-26.855
0.016,0.536,0.190,-4.883,37.842,-13.367
0.034,0.671,0.047,3.723,40.588,-1.282
0.038,0.787,0.078,10.559,32.166,7.263
0.066,0.898,0.047,2.441,31.555,14.099
0.077,0.970,-0.056,-5.676,33.813,18.799
0.074,0.949,-0.084,-12.939,29.846,20.020
0.096,0.938,0.047,-14.038,18.982,20.142
0.094,0.990,0.199,-11.047,12.329,21.362
0.053,1.027,0.203,-6.836,17.273,19.775
0.017,1.067,0.186,-0.610,23.132,16.113
-0.003,1.050,0.254,8.667,22.217,10.864
-0.021,1.063,0.316,16.602,23.193,7.324
-0.016,1.167,0.353,25.146,27.588,7.996
-0.018,1.275,0.317,32.104,34.241,5.554
0.017,1.275,0.134,31.738,43.762,-4.700
0.061,1.177,0.007,27.344,45.593,-18.005
0.106,1.044,0.016,24.414,37.659,-28.381
0.122,0.872,0.052,19.043,31.738,-35.645
0.127,0.684,0.068,11.597,29.053,-37.964
0.153,0.583,0.047,6.165,28.809,-31.921
0.163,0.579,0.072,5.371,26.123,-19.409
0.143,0.553,0.094,6.287,22.949,-8.728
0.164,0.561,0.070,12.756,21.790,3.235
0.193,0.703,0.148,21.729,16.724,20.813
0.246,0.965,0.291,39.246,10.620,36.438
0.302,1.227,0.379,58.228,11.536,42.175
0.331,1.413,0.405,72.571,18.921,34.668
0.352,1.400,0.361,76.111,29.541,11.963
0.344,1.209,0.273,63.904,40.344,-14.343
0.298,1.018,0.201,41.565,45.959,-27.893
0.250,0.918,0.091,17.883,49.316,-28.870
0.231,0.881,0.031,-2.502,47.852,-26.001
0.222,0.833,0.073,-11.292,38.879,-24.292
0.255,0.741,0.110,-6.958,32.043,-23.315
0.311,0.718,0.102,10.376,27.100,-17.761
0.371,0.791,0.033,35.278,22.095,-7.507
0.413,0.876,0.020,53.467,14.526,0.427
0.430,0.877,0.062,57.800,5.798,4.456
0.435,0.933,0.182,57.312,-0.488,9.888
0.430,1.133,0.283,61.890,-2.258,18.188
0.412,1.334,0.293,73.364,3.174,16.907
0.387,1.300,0.197,76.050,11.902,-3.174
0.377,0.978,0.106,66.162,16.174,-33.142
0.386,0.714,0.137,50.049,10.193,-45.227
0.425,0.623,0.212,36.804,2.930,-37.415
0.479,0.665,0.294,24.597,-0.244,-23.071
0.516,0.766,0.331,21.912,-0.549,-11.353
0.517,0.844,0.216,20.691,4.700,-5.615
0.483,0.842,0.056,17.822,7.874,-5.798
0.466,0.823,0.081,20.447,-1.526,-8.118
0.505,0.862,0.279,31.921,-17.273,-8.667
0.503,0.903,0.385,43.396,-21.362,-9.338
0.525,0.949,0.341,45.288,-12.634,-14.160
0.546,0.914,0.258,49.377,-6.042,-24.292
0.569,0.779,0.193,45.044,-5.798,-35.217
0.601,0.626,0.204,31.433,-10.071,-39.368
0.569,0.611,0.326,18.677,-17.273,-30.823
0.612,0.718,0.292,20.020,-19.653,-14.587
0.589,0.880,0.292,-0.549,-16.785,-3.845
0.583,0.981,0.272,4.089,-17.883,-1.648
0.568,1.040,0.266,9.705,-20.569,-4.089
0.556,1.094,0.289,20.386,-23.499,-10.376
0.549,1.060,0.339,33.142,-26.917,-22.888
0.530,0.924,0.374,44.922,-27.161,-39.551
0.514,0.745,0.345,50.964,-23.743,-51.147
0.513,0.546,0.324,47.119,-22.095,-55.908
0.541,0.399,0.353,37.781,-24.170,-52.002
0.579,0.401,0.397,26.306,-25.513,-38.513
0.608,0.484,0.361,17.578,-21.973,-23.376
0.635,0.577,0.274,4.211,-18.127,-11.902
0.631,0.652,0.213,-8.606,-18.555,-4.272
0.611,0.730,0.225,-16.113,-23.743,1.465
0.612,0.878,0.326,-17.761,-31.189,8.301
0.609,1.037,0.430,-4.639,-36.316,10.376
0.595,1.099,0.501,10.925,-36.560,1.892

1.443,1.481,0.420,34.302,32.471,80.261
1.622,1.809,0.426,36.682,32.654,74.951
1.838,1.949,0.531,34.912,31.189,53.955
2.063,1.828,0.729,33.203,30.823,24.231
2.275,1.613,0.985,30.884,34.363,-0.977
2.440,1.490,1.151,28.809,49.683,-12.634
2.564,1.414,1.172,15.442,78.918,-17.334
2.693,1.253,0.939,1.160,113.525,-27.710
2.975,1.144,0.529,-0.610,141.296,-37.842
3.160,1.093,0.005,1.648,161.743,-42.114
3.188,0.913,-1.155,-9.460,197.815,-54.138
3.029,0.320,-3.104,-44.189,243.652,-77.332
2.708,-0.520,-4.000,-97.290,229.919,-87.402
2.102,-1.114,-4.000,-133.728,102.539,-54.199
1.365,-0.724,-4.000,-155.640,-66.040,26.917
0.490,0.441,-3.517,-164.795,-200.806,99.426
-0.603,1.173,-2.254,-147.278,-288.452,96.741
-2.069,0.236,-1.002,-124.695,-331.238,14.160
-3.512,-1.057,0.451,-107.849,-352.783,-46.997
-4.000,-1.314,1.645,-85.327,-354.370,-0.732
-4.000,-1.549,0.781,-88.318,-294.250,82.336
-4.000,-2.019,0.581,-140.198,-287.964,180.298
-4.000,-0.424,3.444,-185.120,-426.208,373.230
-4.000,3.646,4.000,-195.740,-518.921,627.991
-4.000,4.000,4.000,-142.456,-490.906,781.128
-3.539,4.000,4.000,1.160,-404.236,728.088
-2.433,4.000,4.000,165.222,-98.999,319.336
-4.000,3.250,3.797,107.483,489.502,-483.215
-4.000,-4.000,-2.947,-148.865,991.028,-1043.579
-3.890,-4.000,-4.000,-315.735,922.791,-914.429
-2.231,-4.000,-4.000,-213.745,410.217,-297.302
-0.922,-2.102,-3.826,-85.876,8.911,148.926
-0.314,-0.575,-1.710,10.132,-102.539,206.909
-0.170,0.002,-1.229,52.124,-62.500,153.381
-0.234,0.555,-1.589,60.425,-12.695,133.118
-0.189,1.008,-1.270,65.491,-33.508,119.324
-0.123,1.254,-0.330,80.627,-96.619,103.027
-0.059,1.284,0.397,88.196,-121.460,72.266
-0.008,1.296,0.734,72.876,-100.342,39.185
-0.004,1.333,0.821,44.922,-68.054,17.822
-0.010,1.261,0.732,20.691,-39.978,-0.916
0.004,1.004,0.603,5.066,-21.057,-21.179
0.035,0.693,0.576,-2.747,-12.085,-33.203
0.062,0.512,0.572,-4.089,-6.104,-31.189
0.086,0.501,0.453,-1.099,5.249,-19.043
0.097,0.551,0.307,2.441,15.442,-6.287
0.097,0.551,0.248,3.723,19.165,1.648
0.090,0.591,0.307,6.409,16.418,10.498
0.066,0.744,0.385,11.414,14.893,22.644
0.060,0.974,0.394,19.653,17.761,32.471
0.067,1.260,0.376,27.588,21.606,36.255
0.059,1.482,0.330,31.311,24.109,28.320
0.041,1.463,0.256,32.776,25.635,5.981
0.013,1.289,0.291,25.085,22.034,-17.883
0.049,1.165,0.375,21.484,16.174,-31.677
0.032,1.103,0.452,21.545,12.817,-37.292
0.027,0.952,0.483,16.968,15.808,-44.128
0.035,0.777,0.511,11.658,19.958,-47.363
0.028,0.666,0.531,6.897,24.597,-42.542
0.036,0.602,0.510,1.099,32.288,-32.654
0.045,0.576,0.453,-2.197,40.588,-20.935
0.072,0.574,0.385,3.174,45.898,-9.521
0.092,0.599,0.320,12.451,48.279,0.977
0.114,0.688,0.270,21.179,48.584,12.146
0.123,0.891,0.265,29.236,45.654,22.522
0.169,1.114,0.285,35.095,41.687,26.367
0.193,1.184,0.320,35.889,38.940,16.785
0.235,1.122,0.354,34.485,38.391,0.610
0.237,0.953,0.341,28.198,41.077,-12.817
0.208,0.792,0.275,17.944,44.556,-17.944
0.209,0.751,0.280,8.545,42.786,-12.207
0.195,0.756,0.401,3.235,35.828,-4.333
0.177,0.741,0.452,2.380,35.217,0.427
0.146,0.745,0.435,4.456,39.917,5.737
0.140,0.752,0.393,13.489,43.274,10.620
0.187,0.769,0.363,25.391,43.884,14.648
0.242,0.833,0.416,33.936,41.260,18.982
0.285,0.931,0.423,39.856,42.297,22.766
0.299,1.032,0.329,37.842,49.866,23.132
0.296,1.084,0.247,31.799,53.589,19.409
0.281,1.064,0.189,27.649,51.208,12.512
0.255,1.029,0.164,25.024,46.082,5.737
0.253,1.049,0.227,21.484,37.842,2.136
0.261,1.062,0.331,19.836,31.067,-1.648
0.272,1.024,0.366,18.494,31.250,-7.690
0.252,0.937,0.342,24.658,33.936,-14.404
0.247,0.792,0.193,28.687,37.842,-18.921
0.274,0.724,0.084,29.297,37.292,-16.235
0.311,0.800,0.185,29.419,25.696,-6.958
0.364,0.855,0.264,28.503,19.958,-2.686
0.408,0.846,0.267,27.771,22.156,-2.930
0.397,0.819,0.242,30.762,23.437,-4.028
0.405,0.847,0.230,32.654,21.667,-3.540
0.425,0.878,0.294,32.532,16.418,-3.357
0.436,0.898,0.386,28.137,12.939,-4.700
0.437,0.926,0.456,21.240,13.611,-6.470
0.447,0.978,0.373,18.066,19.958,-9.155
0.428,0.996,0.186,14.282,25.757,-14.038
0.423,0.935,0.046,6.042,24.353,-21.484
0.381,0.829,0.104,1.953,11.536,-26.489
0.447,0.777,0.217,7.385,-0.366,-27.893
0.457,0.663,0.277,14.465,-3.113,-30.396
0.493,0.532,0.416,15.015,-10.925,-30.518
0.524,0.457,0.445,20.508,-10.620,-24.292
0.548,0.530,0.433,24.292,-7.080,-9.888
0.554,0.716,0.432,27.893,-6.714,3.967
0.583,0.913,0.442,29.358,-7.141,11.047
0.578,1.130,0.473,28.015,-7.690,11.353
0.588,1.331,0.352,24.109,-2.869,4.700
0.556,1.469,0.145,17.639,2.991,-8.667
0.545,1.355,0.019,13.123,0.061,-33.142
0.517,0.973,0.113,8.301,-13.245,-61.401
0.505,0.605,0.241,3.662,-23.376,-74.646
0.496,0.363,0.323,-1.831,-25.757,-69.641
0.505,0.221,0.406,-6.409,-25.940,-54.932
0.526,0.234,0.484,-5.493,-25.757,-33.447
0.555,0.338,0.449,-3.845,-20.142,-11.597
0.577,0.584,0.387,-2.502,-14.526,8.301
0.584,0.924,0.361,0.122,-12.634,23.254

0.974,1.443,0.211,7.202,29.724,-5.920
1.093,1.085,0.213,10.620,27.222,-36.438
1.234,0.803,0.266,7.874,25.818,-47.791
1.362,0.762,0.320,0.916,28.687,-38.147
1.491,0.895,0.268,-9.644,37.476,-23.315
1.656,0.984,0.194,-21.606,45.044,-15.747
1.860,0.927,0.259,-31.555,44.556,-15.442
2.061,0.908,0.474,-37.170,41.199,-12.207
2.294,0.941,0.610,-35.156,46.753,-5.249
2.575,0.845,0.588,-29.724,62.195,-3.479
2.772,0.617,0.611,-23.376,74.036,-2.319
2.908,0.424,0.778,-11.841,79.468,8.118
2.927,0.375,0.794,5.615,91.125,26.550
2.890,0.588,0.093,18.188,128.296,45.288
2.845,1.059,-0.833,16.663,155.273,57.068
2.825,1.673,-1.582,-4.761,144.226,47.974
2.642,1.979,-2.123,-55.054,110.657,9.033
2.279,1.585,-2.364,-91.064,56.091,-66.772
1.752,0.827,-2.545,-71.167,-8.545,-141.846
1.062,-0.413,-2.758,-46.570,-59.326,-197.327
0.167,-2.105,-2.832,-41.626,-101.929,-223.877
-0.941,-3.475,-2.752,-49.316,-145.691,-180.969
-2.353,-3.691,-2.227,-48.584,-207.153,-45.959
-3.970,-2.759,-1.363,-36.133,-277.893,129.150
-4.000,-0.815,-0.426,-10.010,-346.436,286.377
-4.000,0.805,0.671,17.822,-421.692,373.413
-4.000,0.767,2.323,-5.859,-492.310,346.375
-4.000,0.382,4.000,-105.347,-546.692,323.303
-4.000,2.887,4.000,-227.722,-579.102,478.088
-4.000,4.000,4.000,-241.028,-480.103,727.234
-3.591,4.000,4.000,-48.950,-297.119,795.593
-2.921,4.000,4.000,181.946,69.519,229.492
-4.000,1.639,1.542,39.185,672.119,-802.246
-4.000,-4.000,-3.978,-380.920,1056.213,-1394.226
-3.964,-4.000,-4.000,-621.643,786.743,-1160.889
-2.646,-4.000,-4.000,-385.193,335.388,-361.145
-1.603,-2.675,-3.989,-53.162,-35.950,327.881
-0.752,0.758,-1.358,76.416,-233.337,521.484
-0.334,2.307,0.047,106.812,-236.023,462.219
-0.127,2.462,0.055,122.131,-142.883,297.974
0.066,2.350,0.427,127.319,-116.211,172.485
0.155,2.458,1.212,144.470,-143.982,113.037
0.239,2.378,1.713,110.107,-130.127,59.509
0.221,1.863,1.695,37.842,-68.542,-5.859
0.136,1.026,1.113,-26.794,0.793,-60.059
0.140,0.511,0.605,-61.401,38.147,-73.792
0.163,0.449,0.500,-62.195,38.574,-56.580
0.148,0.367,0.363,-50.781,41.748,-43.762
0.110,0.196,0.114,-39.734,52.917,-37.476
0.077,0.370,0.033,-31.128,52.734,-13.733
0.080,0.908,0.127,-20.569,44.006,19.775
0.088,1.314,0.275,-10.742,37.842,32.715
0.078,1.446,0.343,-6.653,39.490,22.400
0.057,1.432,0.277,-4.272,46.631,4.883
0.041,1.353,0.187,-2.075,50.659,-10.864
0.020,1.259,0.173,1.160,46.997,-24.597
0.028,1.162,0.100,6.592,42.419,-35.034
0.052,1.013,0.139,12.451,34.546,-43.518
0.049,0.910,0.281,15.259,24.353,-48.035
0.091,0.803,0.325,15.625,26.428,-48.584
0.074,0.701,0.331,21.790,31.860,-46.753
0.067,0.587,0.258,31.250,37.964,-42.969
0.108,0.516,0.214,40.344,41.687,-34.363
0.133,0.487,0.293,47.668,39.001,-22.461
0.142,0.481,0.347,47.729,40.955,-10.315
0.145,0.682,0.321,42.297,49.561,5.981
0.149,1.017,0.163,39.734,59.937,21.851
0.157,1.247,0.024,32.349,64.880,20.081
0.188,1.309,-0.012,22.400,60.242,3.906
0.237,1.205,0.026,14.404,52.551,-17.578
0.275,1.057,0.089,9.460,46.692,-34.729
0.319,0.883,0.088,10.010,45.593,-44.312
0.323,0.663,0.114,9.033,44.983,-49.194
0.319,0.496,0.203,7.812,42.542,-46.021
0.330,0.476,0.268,9.644,42.847,-33.386
0.336,0.539,0.260,12.695,48.584,-19.104
0.332,0.576,0.235,17.761,52.856,-10.010
0.316,0.566,0.202,24.109,54.321,-4.150
0.337,0.595,0.143,31.616,54.321,4.883
0.399,0.813,0.189,37.720,48.950,21.057
0.412,1.121,0.147,37.903,48.218,33.630
0.431,1.379,-0.011,29.358,53.772,34.180
0.451,1.514,-0.046,20.386,48.340,20.020
0.424,1.382,0.037,16.296,36.255,-9.827
0.394,0.952,0.132,10.498,28.503,-42.969
0.384,0.622,0.213,2.808,26.367,-54.993
0.380,0.459,0.300,4.456,24.658,-48.096
0.366,0.333,0.363,13.123,25.269,-36.621
0.362,0.283,0.401,26.245,28.076,-21.057
0.387,0.454,0.414,47.119,30.640,0.183
0.412,0.739,0.370,67.810,34.790,18.799
0.428,0.952,0.196,76.660,43.701,23.987
0.454,1.127,-0.055,73.547,50.964,20.264
0.486,1.312,-0.157,65.735,44.312,12.268
0.485,1.345,-0.068,57.617,27.466,-5.310
0.436,1.079,0.001,43.030,17.700,-32.959
0.409,0.755,0.046,27.405,14.404,-51.453
0.436,0.604,0.197,26.001,4.578,-49.316
0.489,0.567,0.320,33.386,-2.563,-38.696
0.525,0.596,0.266,39.917,0.732,-27.527
0.556,0.629,0.090,43.884,5.981,-18.982
0.585,0.601,0.018,48.767,0.061,-14.832
0.595,0.513,0.127,51.819,-12.695,-11.841
0.594,0.545,0.302,53.833,-23.193,-4.150
0.613,0.740,0.370,57.434,-23.437,5.737
0.578,0.895,0.312,55.542,-17.395,7.019
0.550,0.872,0.252,48.035,-14.587,-2.502
0.651,0.819,0.338,39.246,-20.203,-8.972
0.580,0.895,0.525,28.931,-25.330,-8.362
0.619,0.958,0.454,25.269,-17.456,-7.568
0.651,1.073,0.381,11.230,-12.329,-10.071
0.698,1.161,0.318,7.874,-13.611,-15.076
0.726,1.009,0.301,3.174,-16.174,-30.579
0.715,0.705,0.342,1.770,-20.996,-44.983
0.717,0.506,0.352,4.822,-22.644,-45.776
0.681,0.433,0.365,10.132,-23.743,-35.950
0.665,0.403,0.369,10.132,-24.597,-24.658
0.656,0.420,0.397,5.737,-25.146,-12.573
0.631,0.465,0.376,-1.221,-23.193,-0.732

1.657,0.846,0.714,8.362,21.118,58.838
1.867,1.321,0.757,-8.728,32.166,81.421
2.058,1.748,0.754,-27.832,47.607,84.045
2.314,2.239,0.681,-41.260,63.965,74.402
2.542,2.465,0.673,-37.415,73.792,43.457
2.659,2.188,0.715,-17.639,79.285,-12.207
2.700,1.706,0.766,26.611,83.801,-64.331
2.684,1.178,0.909,88.440,83.008,-99.609
2.669,0.494,0.698,135.803,95.947,-127.319
2.591,-0.333,0.228,103.333,126.831,-145.081
2.503,-0.943,-0.073,-12.695,146.912,-132.874
2.436,-1.203,-0.675,-145.142,168.762,-96.191
2.174,-1.466,-1.972,-222.534,202.454,-62.866
1.667,-1.984,-3.766,-222.168,216.858,-37.964
0.920,-2.492,-4.000,-171.448,158.569,5.920
0.176,-2.045,-4.000,-91.492,9.521,98.267
-0.609,0.016,-3.454,-8.972,-167.908,219.360
-1.471,1.973,-2.213,16.418,-276.550,275.146
-2.315,2.888,-1.128,-59.875,-323.120,230.408
-3.202,2.401,0.142,-194.031,-350.403,127.747
-4.000,0.896,0.813,-295.898,-335.754,39.551
-4.000,-0.474,0.767,-331.177,-292.969,36.560
-4.000,-0.916,0.927,-293.945,-285.706,128.113
-4.000,0.235,1.916,-191.223,-334.351,281.799
-4.000,2.551,3.781,-63.477,-419.128,432.739
-3.436,4.000,4.000,58.777,-511.475,509.094
-2.155,4.000,4.000,181.335,-535.950,426.697
-1.186,4.000,4.000,232.605,-264.160,187.744
-1.730,3.847,4.000,146.301,274.109,-159.790
-2.880,-0.559,-0.250,-77.576,756.226,-486.755
-2.479,-4.000,-4.000,-300.232,870.789,-616.577
-1.743,-4.000,-4.000,-295.044,508.667,-420.654
-1.025,-3.228,-3.999,-123.352,64.697,-32.654
-0.417,-0.657,-1.623,11.353,-168.579,198.608
-0.117,0.422,-0.128,73.120,-195.129,218.262
-0.032,0.996,-0.057,82.947,-115.479,179.871
-0.046,1.456,-0.310,83.923,-62.195,150.879
-0.009,1.558,0.117,85.388,-79.773,115.723
0.093,1.579,0.973,72.449,-111.694,82.642
0.106,1.728,1.571,41.687,-100.952,59.204
0.077,1.641,1.535,0.183,-40.894,24.963
0.023,1.292,0.972,-29.846,23.865,-13.123
-0.002,0.974,0.390,-37.903,57.129,-34.424
0.030,0.767,0.147,-32.959,56.946,-39.063
0.079,0.707,0.188,-26.428,46.814,-34.058
0.080,0.688,0.115,-21.423,49.622,-28.015
0.053,0.605,-0.123,-17.456,60.364,-25.269
0.045,0.609,-0.193,-11.597,59.021,-16.968
0.057,0.734,-0.049,-4.517,47.302,-3.113
0.051,0.891,0.100,1.343,39.978,8.118
0.034,1.025,0.139,3.479,40.649,13.611
0.079,1.161,0.153,5.371,39.978,14.099
0.078,1.222,0.256,9.216,34.607,7.629
0.113,1.241,0.319,11.047,31.799,-1.892
0.095,1.304,0.273,20.142,33.813,-10.315
0.072,1.222,0.200,25.208,34.241,-24.780
0.077,1.057,0.255,24.780,28.931,-39.001
0.088,0.932,0.344,26.245,23.743,-44.250
0.083,0.873,0.402,27.405,25.696,-42.236
0.071,0.946,0.400,27.954,32.532,-34.485
0.075,1.020,0.310,28.687,41.748,-29.785
0.096,1.005,0.198,33.569,46.692,-32.227
0.157,0.992,0.209,43.457,41.992,-34.729
0.229,0.958,0.295,52.856,36.133,-36.865
0.263,0.865,0.293,56.213,37.537,-39.185
0.319,0.792,0.197,54.321,43.823,-38.818
0.338,0.799,0.198,50.171,43.518,-33.875
0.332,0.749,0.239,43.518,40.527,-31.006
0.334,0.711,0.197,33.447,42.786,-27.466
0.335,0.752,0.128,24.780,45.044,-19.531
0.345,0.790,0.133,18.799,41.138,-12.817
0.319,0.779,0.173,14.404,36.377,-9.827
0.335,0.793,0.173,16.418,32.898,-7.080
0.370,0.885,0.297,24.597,25.269,-3.662
0.394,0.922,0.452,34.485,19.226,-5.005
0.431,0.868,0.504,38.818,24.231,-10.986
0.452,0.813,0.471,37.292,35.034,-14.099
0.436,0.841,0.375,31.372,44.556,-11.597
0.412,0.873,0.207,21.667,50.415,-8.057
0.411,0.900,0.087,9.888,49.622,-5.737
0.385,0.965,0.142,1.343,38.025,-3.540
0.378,1.012,0.171,-4.333,29.541,-4.578
0.368,0.959,0.187,-7.019,24.292,-10.498
0.379,0.832,0.282,-3.906,17.090,-17.273
0.378,0.708,0.379,3.418,12.024,-18.616
0.392,0.665,0.443,15.259,11.841,-13.245
0.424,0.701,0.455,29.480,14.954,-4.883
0.456,0.756,0.446,40.649,19.836,0.183
0.463,0.830,0.428,45.593,24.414,2.808
0.474,0.900,0.369,45.776,30.151,2.686
0.484,0.944,0.285,38.879,35.522,-0.916
0.494,0.960,0.194,26.428,38.940,-6.165
0.476,0.909,0.135,11.902,39.551,-13.733
0.476,0.771,0.113,-1.343,36.804,-20.996
0.503,0.659,0.146,-7.874,31.616,-22.034
0.503,0.663,0.186,-10.620,27.466,-14.587
0.519,0.728,0.156,-12.695,27.405,-5.493
0.527,0.807,0.224,-8.850,23.071,-0.854
0.525,0.832,0.252,3.235,19.165,-1.038
0.517,0.840,0.197,18.738,19.104,-2.991
0.513,0.837,0.163,31.982,15.991,-4.822
0.504,0.835,0.186,36.621,11.475,-7.263
0.499,0.826,0.225,36.865,8.301,-9.766
0.474,0.746,0.208,32.776,8.789,-14.099
0.442,0.660,0.208,27.466,8.545,-15.137
0.433,0.661,0.266,23.132,5.554,-10.620
0.448,0.736,0.269,20.203,5.066,-3.418
0.483,0.849,0.248,17.456,6.409,1.953
0.521,0.920,0.235,15.076,5.554,3.052
0.518,0.925,0.197,11.536,6.226,-0.305
0.540,0.955,0.178,15.320,4.089,-3.235
0.520,0.916,0.237,12.451,-0.183,-9.460
0.502,0.835,0.301,7.874,-2.563,-17.334
0.501,0.747,0.377,4.517,-4.211,-21.606
0.499,0.646,0.328,2.319,-0.549,-23.926
0.492,0.650,0.281,0.854,2.380,-19.592
0.495,0.679,0.265,1.404,0.244,-14.343
0.509,0.779,0.177,-1.343,1.404,-8.728
0.534,0.957,0.083,-3.418,1.099,-3.906

1.338,1.078,0.306,-0.122,23.560,7.202
1.476,1.116,0.235,-8.789,28.625,9.216
1.643,1.078,0.288,-12.329,27.222,7.446
1.807,1.056,0.452,-8.911,23.560,9.277
1.990,1.145,0.521,-3.662,29.053,15.991
2.236,1.318,0.550,5.005,38.086,22.766
2.524,1.297,0.629,15.137,43.579,18.311
