aX,aY,aZ,gX,gY,gZ
1.694,0.703,0.541,19.104,51.086,34.668
1.917,0.934,0.388,3.540,64.392,52.063
2.147,1.045,0.317,-18.433,69.885,61.340
2.449,1.142,0.354,-49.377,70.435,68.726
2.781,1.340,0.485,-72.205,66.650,77.271
3.061,1.565,0.748,-84.656,60.120,76.721
3.150,1.741,1.131,-88.013,56.824,56.335
3.252,1.716,1.385,-68.542,73.975,13.489
3.225,1.268,1.016,-31.677,127.197,-49.561
2.927,0.508,-0.060,-12.512,199.036,-112.732
2.631,-0.306,-1.635,-4.639,251.221,-146.851
2.361,-0.949,-3.193,-25.757,253.235,-138.611
1.973,-1.271,-4.000,-70.435,190.613,-100.891
1.434,-1.439,-4.000,-101.929,91.003,-55.542
0.606,-1.902,-4.000,-117.554,-12.695,-20.752
-0.392,-2.581,-4.000,-126.404,-125.000,23.071
-1.544,-2.789,-3.193,-126.282,-239.746,111.328
-2.893,-1.816,-1.986,-127.075,-334.229,248.108
-3.999,0.187,-0.507,-123.657,-409.851,390.442
-4.000,2.532,0.863,-78.796,-452.759,477.234
-4.000,3.519,1.170,-12.756,-420.654,416.687
-4.000,1.495,0.625,11.292,-369.080,222.351
-4.000,-0.823,1.518,-46.997,-411.316,125.854
-4.000,0.068,3.980,-131.042,-521.851,280.945
-4.000,3.886,4.000,-208.374,-575.684,557.190
-4.000,4.000,4.000,-197.449,-488.159,721.069
-2.939,4.000,4.000,-45.471,-240.784,607.300
-2.847,4.000,4.000,110.596,175.110,36.194
-4.000,2.040,1.825,94.666,594.849,-676.880
-4.000,-3.284,-1.780,0.061,837.646,-1030.090
-3.592,-4.000,-3.758,-26.489,724.060,-978.149
-2.131,-4.000,-4.000,5.127,528.931,-588.135
-1.211,-3.913,-4.000,48.645,321.838,-143.311
-0.765,-1.360,-3.157,11.292,107.666,163.879
-0.434,0.125,-1.686,-7.080,-38.818,263.977
-0.060,0.842,-0.667,-0.427,-86.182,259.644
0.089,1.181,-0.256,14.038,-62.256,211.548
0.159,1.405,-0.289,33.264,-17.090,151.978
0.167,1.578,-0.440,52.490,10.925,104.492
0.156,1.507,-0.584,61.218,21.851,54.504
0.135,1.158,-0.516,50.720,14.709,5.615
0.150,0.852,-0.208,32.104,-1.282,-19.104
0.148,0.760,0.107,26.672,-9.521,-18.188
0.117,0.787,0.276,32.532,-4.517,-9.888
0.102,0.862,0.339,41.870,5.432,-3.845
0.077,0.947,0.442,49.500,11.292,-2.441
0.037,0.984,0.513,56.396,17.395,-5.371
0.012,0.977,0.514,63.904,27.161,-13.611
0.001,0.966,0.490,65.796,36.560,-21.790
-0.019,0.959,0.503,54.993,41.809,-27.466
-0.018,0.957,0.507,45.471,45.654,-32.166
0.003,0.963,0.474,39.917,50.781,-36.194
0.022,0.942,0.449,33.691,54.199,-42.114
0.003,0.852,0.398,25.879,57.007,-50.049
0.009,0.744,0.270,18.921,62.256,-56.702
0.053,0.639,0.179,10.864,62.988,-58.838
0.044,0.521,0.223,-3.418,56.641,-56.824
0.103,0.450,0.205,-8.911,55.176,-50.903
0.158,0.368,0.182,-2.747,54.321,-44.312
0.196,0.360,0.124,7.019,49.988,-33.264
0.302,0.434,0.089,21.545,42.664,-18.066
0.396,0.586,0.128,33.752,32.349,-3.845
0.439,0.786,0.150,36.621,27.283,4.639
0.463,0.937,0.148,41.748,26.917,2.808
0.483,0.884,0.182,48.035,24.780,-11.780
0.486,0.679,0.212,40.588,23.132,-28.870
0.497,0.512,0.172,25.269,24.597,-31.921
0.525,0.464,0.111,12.878,24.536,-21.545
0.588,0.604,0.094,2.625,18.372,-4.089
0.645,0.834,0.103,-3.662,11.108,10.071
0.672,0.964,0.063,-4.395,8.301,12.390
0.667,0.993,0.055,-3.967,4.272,6.165
0.673,0.987,0.066,0.732,-0.732,-2.197
0.663,0.969,0.149,8.057,-7.324,-11.841
0.686,0.860,0.247,14.648,-12.085,-25.024
0.908,0.622,0.276,23.071,-12.390,-36.560
0.610,0.593,0.464,16.602,-12.329,-33.508
0.738,0.450,0.319,43.823,-3.906,-28.198
0.678,0.476,0.169,42.114,-0.122,-13.977
0.740,0.693,0.068,13.245,-6.897,7.080
0.765,0.966,0.070,0.671,-20.020,21.484
0.798,1.182,0.177,-19.043,-33.447,21.912
0.831,1.246,0.315,-17.883,-41.687,7.507
0.782,1.105,0.372,-11.597,-38.513,-17.578
0.734,0.819,0.300,3.357,-27.710,-40.283
0.716,0.482,0.329,19.592,-27.161,-52.490
0.683,0.242,0.477,18.860,-34.607,-49.500
0.684,0.240,0.618,12.451,-37.659,-29.114
0.733,0.460,0.673,8.118,-32.227,-3.967
0.749,0.686,0.591,0.488,-17.944,11.047
0.752,0.766,0.376,-9.399,-2.136,12.146
0.728,0.802,0.169,-18.921,4.944,9.460
0.693,0.847,-0.021,-23.254,4.700,8.484
0.691,0.887,-0.136,-20.447,-5.188,7.141
0.668,0.941,0.036,-17.578,-31.128,2.563
0.676,0.914,0.308,-27.527,-56.458,-6.409
0.649,0.810,0.558,-28.259,-67.505,-16.541
0.646,0.723,0.663,-28.198,-60.486,-20.081
0.650,0.755,0.654,-17.822,-47.180,-13.428
0.638,0.874,0.590,-12.085,-36.682,-5.005
0.654,0.962,0.536,-10.559,-29.846,-4.089
0.676,1.010,0.532,-10.315,-25.085,-10.315
0.698,0.987,0.465,-5.554,-17.151,-22.217
0.680,0.865,0.381,6.042,-11.047,-35.889
0.639,0.694,0.155,18.921,-5.371,-44.434
0.596,0.552,0.023,25.391,-8.728,-44.312
0.604,0.470,0.127,10.376,-28.076,-37.048
0.638,0.578,0.491,-13.550,-52.795,-21.179
0.680,0.732,0.722,-21.851,-53.833,-6.714
0.714,0.797,0.647,-16.968,-31.067,-2.380
0.662,0.870,0.453,-10.620,-12.512,0.732
0.694,0.952,0.401,-12.390,-11.780,0.427
0.679,0.990,0.453,-2.258,-17.151,-4.089
0.735,1.022,0.519,1.709,-18.127,-12.756
0.727,0.965,0.479,12.268,-10.925,-24.475
0.645,0.892,0.247,30.762,0.366,-32.166
0.644,0.751,-0.079,39.307,7.935,-39.490

2.348,0.818,-0.171,-47.729,64.087,132.629
2.577,1.344,-0.169,-87.769,51.453,166.016
2.816,1.971,0.221,-106.750,28.442,180.176
3.146,2.528,0.744,-65.369,11.536,160.706
3.446,2.648,1.070,21.423,21.362,89.417
3.464,2.021,0.722,123.962,74.707,-27.771
3.260,0.956,-1.183,203.857,165.100,-131.042
2.938,-0.182,-3.745,195.740,225.830,-191.528
2.451,-1.180,-4.000,75.806,169.495,-193.848
1.834,-1.684,-4.000,-63.965,37.659,-142.578
0.952,-1.984,-4.000,-139.526,-79.834,-72.937
-0.256,-2.869,-4.000,-144.775,-173.035,-26.733
-1.778,-3.539,-3.530,-103.333,-274.536,37.598
-3.627,-1.931,-1.082,-33.813,-395.996,186.157
-4.000,1.372,1.799,63.538,-498.474,352.966
-4.000,3.401,3.496,142.700,-480.225,348.938
-4.000,1.613,1.494,106.934,-304.504,134.277
-4.000,-1.209,-0.423,-66.956,-233.765,-11.536
-4.000,-1.523,3.234,-290.771,-469.116,121.643
-4.000,3.074,4.000,-457.458,-767.944,469.055
-4.000,4.000,4.000,-437.256,-671.692,753.906
-3.555,4.000,4.000,-257.996,-178.040,690.063
-3.858,4.000,4.000,14.221,354.431,45.654
-4.000,1.293,1.362,97.900,752.930,-810.120
-4.000,-4.000,-3.524,5.432,930.237,-1204.834
-3.764,-4.000,-4.000,-66.162,739.868,-1030.151
-2.132,-4.000,-4.000,-104.370,493.530,-475.647
-1.281,-3.318,-4.000,-45.044,199.768,44.739
-0.574,-0.830,-2.528,9.094,-35.339,277.344
-0.042,0.386,-1.053,41.443,-106.079,301.392
0.132,0.831,-0.566,8.301,-62.256,264.038
0.102,0.904,-0.771,-25.574,1.526,208.130
0.093,1.180,-0.747,-27.893,8.545,181.580
0.116,1.660,-0.368,-2.380,-23.743,179.016
0.161,2.048,-0.026,26.672,-39.063,154.236
0.185,1.992,0.155,41.504,-27.893,87.097
0.163,1.543,0.184,46.753,-10.803,17.761
0.130,1.138,0.155,50.964,2.014,-19.287
0.139,0.979,0.275,54.993,2.991,-27.344
0.116,0.859,0.463,57.251,1.770,-30.151
0.074,0.649,0.527,56.213,10.193,-35.461
0.012,0.447,0.482,56.763,23.560,-33.447
0.003,0.395,0.422,58.105,30.273,-20.142
0.040,0.543,0.388,56.946,29.724,-1.038
0.077,0.736,0.398,53.406,26.306,13.000
0.151,0.959,0.406,56.030,22.827,18.677
0.207,1.164,0.422,57.495,21.545,15.686
0.248,1.259,0.455,54.382,21.484,2.808
0.259,1.191,0.406,50.293,26.367,-18.005
0.268,1.032,0.293,45.288,33.691,-37.354
0.254,0.913,0.297,35.706,32.471,-47.302
0.250,0.771,0.308,27.832,30.518,-51.758
0.249,0.612,0.303,23.621,31.433,-51.819
0.269,0.469,0.317,22.156,30.884,-45.410
0.290,0.390,0.382,27.710,28.137,-33.691
0.303,0.396,0.427,35.095,27.710,-17.822
0.322,0.503,0.434,43.579,28.503,-1.282
0.357,0.721,0.390,49.194,29.846,13.184
0.391,0.970,0.376,47.119,29.541,20.447
0.415,1.132,0.405,42.419,26.855,14.893
0.443,1.158,0.394,37.659,27.344,-0.305
0.418,1.003,0.384,31.860,27.893,-19.592
0.397,0.832,0.388,23.010,25.757,-32.166
0.423,0.765,0.401,13.611,22.461,-31.616
0.485,0.777,0.427,6.104,18.677,-25.024
0.536,0.805,0.459,0.305,15.747,-20.203
0.569,0.813,0.410,-3.479,17.639,-18.738
0.576,0.770,0.346,-3.784,20.264,-19.653
0.544,0.671,0.334,-5.493,19.043,-21.667
0.520,0.585,0.393,-4.272,13.794,-21.240
0.497,0.588,0.465,2.991,8.972,-15.259
0.455,0.596,0.413,8.118,12.024,-9.766
0.456,0.612,0.313,6.653,15.503,-4.944
0.493,0.758,0.343,3.235,8.789,3.662
0.588,0.959,0.390,3.418,2.991,11.047
0.670,1.113,0.390,3.967,3.357,9.094
0.723,1.146,0.315,3.845,7.996,-1.770
0.711,1.023,0.248,3.296,9.583,-17.822
0.698,0.805,0.301,1.648,4.272,-32.166
0.664,0.623,0.426,-0.671,-1.648,-37.231
0.612,0.510,0.492,-0.183,-1.343,-34.790
0.593,0.457,0.512,7.141,0.793,-28.992
0.618,0.411,0.482,13.611,3.296,-21.973
0.568,0.440,0.437,15.259,5.066,-10.620
0.627,0.628,0.383,16.968,4.639,4.028
0.643,0.821,0.307,12.390,3.662,13.367
0.658,0.977,0.232,-7.812,0.793,14.465
0.685,1.039,0.187,-23.560,-4.517,7.202
0.688,1.074,0.227,-33.630,-12.085,-2.747
0.669,1.070,0.286,-36.621,-16.541,-13.184
0.647,0.898,0.373,-35.034,-18.616,-28.931
0.623,0.658,0.488,-30.701,-19.409,-40.588
0.605,0.489,0.544,-29.846,-15.808,-40.405
0.607,0.457,0.560,-26.794,-11.475,-29.968
0.607,0.501,0.560,-24.658,-7.385,-17.273
0.618,0.607,0.471,-23.193,-1.648,-7.080
0.617,0.735,0.324,-19.043,2.747,-1.526
0.621,0.854,0.190,-13.977,2.625,-0.122
0.619,0.896,0.101,-9.216,-2.441,-4.028
0.628,0.859,0.155,-5.066,-14.221,-12.329
0.642,0.795,0.312,-1.404,-26.672,-19.653
0.631,0.691,0.447,-0.427,-30.396,-25.452
0.609,0.569,0.508,-0.427,-27.588,-27.649
0.589,0.501,0.543,-3.906,-23.193,-23.865
0.596,0.521,0.609,-11.169,-20.569,-14.648
0.606,0.603,0.674,-19.775,-17.029,-5.310
0.603,0.705,0.652,-31.433,-7.812,1.770
0.611,0.808,0.559,-40.894,3.479,5.798
0.593,0.899,0.397,-46.997,13.855,6.348
0.563,0.943,0.096,-46.448,24.719,3.479
0.516,0.997,-0.126,-38.391,22.644,-1.282
0.522,1.110,-0.115,-34.119,2.808,-7.141
0.546,1.081,0.057,-19.226,-20.508,-24.841
0.562,0.832,0.157,-1.160,-31.189,-48.340
0.592,0.610,0.136,21.729,-32.654,-59.814
0.614,0.495,0.190,41.992,-38.330,-58.044
0.619,0.443,0.269,57.068,-45.715,-50.781
0.631,0.432,0.383,63.293,-51.392,-41.992
0.658,0.487,0.568,61.218,-56.030,-32.104

1.504,1.199,0.693,-5.676,18.372,54.565
1.646,1.332,0.713,4.578,29.785,44.983
1.799,1.369,0.702,15.076,42.175,30.090
2.057,1.290,0.758,26.550,51.086,14.709
2.224,1.200,0.873,32.410,58.655,6.042
2.499,1.253,1.067,37.109,67.383,5.676
2.571,1.492,1.291,34.790,79.834,7.141
2.504,1.523,1.156,28.931,111.877,-12.390
2.460,1.134,0.653,24.475,148.437,-55.176
2.466,0.427,0.060,16.235,168.884,-96.802
2.512,-0.378,-0.679,-0.793,178.345,-118.958
2.578,-0.947,-1.560,-31.006,175.659,-109.985
2.538,-1.317,-2.371,-84.229,151.794,-77.881
2.342,-1.713,-3.152,-117.126,111.023,-47.180
2.045,-1.940,-3.795,-112.000,57.800,-11.414
1.308,-2.152,-4.000,-74.585,-10.376,22.278
0.287,-2.617,-4.000,-42.603,-81.299,52.063
-0.946,-3.068,-3.980,-38.025,-174.438,102.234
-2.393,-2.589,-2.518,-55.908,-278.687,202.637
-3.937,-0.585,-1.431,-69.153,-334.412,339.417
-4.000,1.502,-0.876,-72.571,-351.685,435.303
-4.000,2.718,-0.104,-69.336,-387.878,432.251
-4.000,2.366,0.747,-75.623,-434.265,349.915
-4.000,1.778,2.155,-101.196,-485.107,301.086
-4.000,3.374,4.000,-124.451,-555.725,387.146
-4.000,4.000,4.000,-88.928,-633.484,524.292
-3.560,4.000,4.000,73.914,-623.962,545.349
-2.583,4.000,4.000,303.650,-275.574,196.960
-4.000,3.180,4.000,332.214,453.430,-549.500
-4.000,-4.000,-2.318,93.750,1066.895,-1085.510
-3.698,-4.000,-4.000,-156.555,971.558,-959.961
-2.320,-4.000,-4.000,-250.854,521.667,-320.190
-1.297,-2.312,-4.000,-227.417,292.114,166.077
-0.781,-0.252,-4.000,-147.766,156.616,261.597
-0.553,0.108,-3.507,-34.790,14.343,196.167
-0.352,0.299,-2.163,29.602,-96.191,164.551
-0.336,0.746,-1.034,55.908,-157.288,176.697
-0.218,1.474,-0.092,75.500,-190.369,197.815
-0.101,2.270,0.778,107.544,-207.825,191.711
0.042,2.539,1.392,133.911,-192.627,119.080
0.116,1.990,1.786,115.845,-152.832,13.733
0.119,1.036,1.896,69.519,-98.328,-67.261
0.053,0.434,1.673,23.560,-37.292,-86.060
0.065,0.299,1.234,-6.958,14.282,-62.561
0.073,0.416,1.016,-23.132,37.598,-34.363
0.100,0.529,0.911,-24.048,46.326,-18.982
0.086,0.578,0.792,-20.447,56.213,-11.841
0.041,0.643,0.635,-13.428,65.430,-5.127
0.028,0.727,0.415,-6.775,72.510,2.136
0.030,0.918,0.310,-3.845,70.618,11.108
0.028,1.072,0.308,-0.671,61.279,13.428
0.042,1.107,0.314,4.272,53.772,5.249
0.041,1.046,0.365,12.573,47.241,-6.592
0.054,1.035,0.443,24.597,41.931,-17.334
0.104,0.912,0.447,33.997,42.847,-32.532
0.080,0.669,0.415,43.335,46.631,-47.302
0.093,0.475,0.380,46.448,47.546,-48.340
0.084,0.435,0.398,42.542,45.593,-34.546
0.142,0.518,0.460,35.156,43.518,-15.381
0.201,0.630,0.522,32.104,42.786,-1.282
0.218,0.756,0.540,27.100,47.241,7.385
0.240,0.862,0.471,29.907,56.274,13.550
0.285,1.058,0.359,37.903,64.575,17.334
0.298,1.185,0.339,39.551,64.819,10.742
0.291,1.188,0.318,39.734,62.256,-5.981
0.322,1.028,0.250,41.077,60.669,-25.696
0.343,0.819,0.212,44.250,55.542,-38.574
0.318,0.680,0.203,53.833,44.678,-39.063
0.359,0.601,0.229,60.303,31.311,-31.677
0.530,0.729,0.332,63.293,19.043,-23.743
0.422,0.522,0.513,50.903,10.315,-27.405
0.495,0.477,0.325,82.581,15.015,-25.818
0.537,0.448,0.298,56.946,17.639,-7.874
0.547,0.412,0.422,61.401,3.113,-1.404
0.528,0.592,0.586,44.983,-2.991,14.771
0.493,0.698,0.617,26.489,5.371,20.996
0.500,0.818,0.545,10.315,18.921,21.423
0.494,0.919,0.471,-2.930,26.184,20.020
0.500,0.968,0.427,-9.155,26.367,14.038
0.519,0.943,0.361,-9.277,24.780,6.470
0.560,0.878,0.308,-6.958,22.095,0.000
0.590,0.787,0.340,-2.808,15.137,-2.380
0.576,0.762,0.446,-1.343,9.766,-1.282
0.602,0.672,0.405,15.930,12.207,-2.075
0.565,0.615,0.403,21.790,11.841,-1.038
0.573,0.602,0.485,22.766,6.348,2.686
0.591,0.587,0.574,19.531,4.395,4.639
0.603,0.593,0.625,11.963,8.057,6.836
0.596,0.657,0.605,4.456,15.015,10.742
0.593,0.849,0.481,1.099,23.682,18.005
0.574,1.052,0.350,-3.479,27.405,20.996
0.558,1.149,0.202,-8.606,26.794,13.000
0.544,1.117,0.177,-13.428,18.555,-1.343
0.557,1.013,0.333,-17.395,3.540,-15.015
0.568,0.854,0.402,-18.677,-0.122,-25.696
0.566,0.707,0.367,-16.724,3.845,-30.457
0.553,0.587,0.368,-11.963,3.235,-29.785
0.554,0.487,0.390,-7.690,0.305,-25.635
0.571,0.455,0.452,-6.226,-2.502,-16.541
0.590,0.497,0.524,-2.197,-4.089,-4.883
0.614,0.680,0.505,3.052,-1.404,7.080
0.641,0.816,0.459,-1.587,2.380,11.414
0.632,0.861,0.392,-3.296,4.761,7.385
0.604,0.912,0.266,-5.371,7.141,3.967
0.592,0.955,0.207,-7.019,3.113,0.977
0.590,0.937,0.336,-14.221,-8.362,-4.089
0.576,0.919,0.451,-24.231,-14.343,-9.155
0.547,0.909,0.405,-32.227,-8.728,-13.306
0.517,0.829,0.359,-36.377,-6.104,-18.982
0.523,0.722,0.432,-36.194,-11.108,-23.132
0.552,0.620,0.553,-28.809,-16.418,-23.193
0.581,0.576,0.575,-20.264,-12.085,-18.250
0.613,0.567,0.505,-13.550,-3.906,-11.292
