aX,aY,aZ,gX,gY,gZ
3.469,0.687,1.188,49.072,24.658,54.504
3.778,1.231,1.809,97.229,39.185,49.927
3.972,1.406,2.517,150.818,70.435,14.587
3.944,0.577,3.383,168.396,118.835,-63.110
3.773,-1.036,4.000,148.193,170.654,-136.658
3.565,-2.734,4.000,101.929,217.896,-158.447
3.214,-3.746,4.000,50.354,270.630,-106.934
2.801,-3.604,4.000,32.715,335.022,-0.305
2.335,-2.434,4.000,31.128,367.920,113.464
1.687,-1.182,4.000,-3.235,342.102,174.011
0.637,-0.048,4.000,-128.662,337.769,174.561
-0.500,0.933,4.000,-289.734,454.834,118.469
-1.522,1.651,4.000,-466.858,625.366,17.639
-2.452,2.201,4.000,-655.945,730.469,-106.445
-3.513,2.531,2.891,-832.886,767.090,-232.727
-4.000,2.262,1.186,-901.245,800.659,-345.093
-4.000,1.298,-1.531,-644.897,747.498,-444.519
-4.000,0.059,-2.593,-286.377,520.874,-502.441
-3.979,-0.524,-1.347,-80.322,250.610,-472.839
-3.688,-0.917,0.281,46.509,86.670,-408.386
-3.438,-1.253,0.816,259.155,98.694,-342.224
-3.344,-1.156,0.372,439.087,182.556,-248.962
-3.188,-0.904,-0.545,652.893,246.643,-150.696
-2.897,-0.783,-1.121,725.952,249.207,-60.974
-2.784,-0.598,-1.248,653.503,203.613,19.897
-2.485,-0.396,-1.410,587.769,146.973,86.792
-2.150,0.076,-1.404,461.731,91.919,150.146
-1.868,0.625,-1.289,310.547,42.542,197.083
-1.498,1.148,-1.164,138.367,12.207,213.440
-1.145,1.469,-1.173,90.271,-8.789,194.763
-0.823,1.537,-1.071,122.314,-40.833,152.588
-0.520,1.387,-0.922,126.404,-71.472,106.689
-0.288,1.154,-0.882,88.013,-88.867,66.589
0.039,0.966,-0.732,22.095,-105.774,39.368
0.255,0.732,-0.445,70.190,-127.869,10.620
0.471,0.315,-0.039,90.332,-142.212,-13.855
0.655,0.028,0.213,96.741,-135.193,-23.376
0.761,-0.021,0.380,103.271,-121.826,-17.822
0.859,-0.071,0.416,101.807,-102.722,-10.742
0.916,-0.091,0.356,94.543,-82.153,-3.540
0.969,0.084,0.271,83.069,-67.566,12.390
1.012,0.397,0.152,66.711,-57.251,28.870
1.020,0.689,0.013,49.011,-49.744,35.156
1.003,0.867,-0.120,29.419,-45.898,31.067
0.975,0.901,-0.240,12.329,-45.471,17.761
0.927,0.843,-0.293,0.427,-49.438,2.136
0.901,0.718,-0.287,-4.272,-56.458,-13.306
0.869,0.613,-0.273,-3.479,-62.927,-25.696
0.842,0.495,-0.235,-3.784,-69.031,-34.180
0.822,0.305,-0.160,0.366,-75.073,-41.992
0.843,0.086,-0.099,14.099,-78.735,-45.837
0.866,0.019,-0.034,25.635,-80.078,-40.161
0.869,0.008,-0.036,30.884,-76.050,-30.029
0.856,-0.036,-0.090,32.410,-70.435,-20.996
0.830,-0.025,-0.135,27.893,-66.711,-8.301
0.785,0.076,-0.211,19.653,-65.125,5.554
0.760,0.200,-0.260,10.742,-67.444,17.029
0.722,0.323,-0.255,1.099,-73.486,23.743
0.700,0.421,-0.261,-2.747,-79.346,24.963
0.687,0.455,-0.239,-3.357,-86.853,20.264
0.686,0.510,-0.234,-1.404,-95.581,14.343
0.715,0.494,-0.233,4.517,-104.004,5.188
0.735,0.430,-0.197,13.184,-113.464,-4.700
0.739,0.353,-0.146,23.193,-122.925,-13.245
0.739,0.221,-0.069,29.480,-129.395,-19.043
0.722,0.102,0.001,31.738,-131.470,-19.226
0.697,0.055,-0.000,28.503,-128.723,-11.169
0.671,0.066,0.017,22.644,-127.319,0.061
0.624,0.141,0.055,19.226,-128.296,12.817
0.602,0.298,0.157,16.052,-130.981,24.170
0.568,0.427,0.207,16.602,-132.385,28.625
0.562,0.523,0.175,12.634,-129.761,25.940
0.594,0.571,0.159,12.390,-132.263,18.738
0.638,0.573,0.182,17.578,-138.489,7.202
0.651,0.490,0.198,26.672,-142.639,-8.545
0.661,0.380,0.157,36.316,-144.043,-23.926
0.641,0.285,0.132,41.687,-147.705,-34.729
0.630,0.172,0.146,44.373,-155.579,-41.687
0.618,0.033,0.195,44.434,-164.734,-44.983
0.619,-0.044,0.307,38.391,-173.584,-41.321
0.622,-0.065,0.449,30.273,-179.504,-32.349
0.628,0.000,0.598,23.621,-180.969,-21.545
0.661,0.133,0.652,20.386,-174.622,-11.902
0.751,0.287,0.618,20.691,-165.344,-8.850
0.806,0.382,0.576,24.536,-159.119,-15.625
0.828,0.385,0.533,33.508,-156.006,-30.457
0.829,0.321,0.524,43.152,-157.471,-47.363
0.836,0.190,0.531,50.598,-161.926,-62.744
0.858,-0.017,0.641,53.345,-169.434,-73.120
0.910,-0.104,0.835,44.128,-176.819,-69.641
0.976,-0.108,1.027,32.349,-177.551,-58.167
1.006,-0.017,1.158,15.503,-170.654,-43.030
1.053,0.114,1.187,4.333,-157.410,-30.823
1.089,0.304,1.212,-2.930,-145.203,-23.682
1.156,0.446,1.195,-6.165,-133.545,-26.367
1.106,0.502,1.157,7.324,-122.925,-39.063
1.127,0.537,1.031,26.855,-113.281,-57.129
1.084,0.252,1.000,28.259,-107.361,-83.740
1.081,0.058,0.925,33.447,-102.844,-100.098
1.095,-0.201,0.956,47.241,-104.431,-107.239
1.120,-0.445,1.017,52.673,-107.910,-104.187
1.152,-0.524,1.237,45.410,-111.938,-84.351
1.175,-0.399,1.470,29.602,-107.910,-52.185
1.180,-0.157,1.518,8.484,-87.219,-22.095
1.140,0.031,1.349,-12.207,-57.983,-4.761
1.099,0.102,1.104,-27.771,-36.316,-0.793
1.064,0.184,0.983,-30.273,-30.212,-0.061
1.027,0.299,0.968,-21.545,-32.043,-2.563
0.992,0.357,0.958,-10.925,-31.494,-11.597
0.937,0.276,0.907,-0.916,-27.527,-27.161
0.893,0.135,0.825,9.338,-23.315,-41.016
0.853,-0.014,0.808,20.691,-23.926,-48.828
0.826,-0.168,0.824,27.100,-24.414,-50.232
0.813,-0.264,0.863,25.940,-22.522,-42.664
0.804,-0.242,0.920,20.020,-20.020,-27.588
0.788,-0.147,0.947,11.902,-14.282,-10.315
0.768,-0.011,0.894,2.808,-5.371,3.357
0.740,0.120,0.814,-3.967,1.892,11.414

2.883,-0.417,0.556,35.706,-38.086,3.601
3.614,-0.435,1.337,29.541,-53.162,34.058
4.000,0.220,2.146,21.606,-41.138,85.449
4.000,1.216,2.983,22.888,-7.507,123.901
4.000,1.805,4.000,20.264,3.906,113.220
4.000,1.113,4.000,-3.723,24.170,32.776
3.914,-0.787,4.000,-34.302,134.277,-74.524
3.538,-2.545,4.000,-23.071,282.532,-119.324
2.933,-3.405,4.000,58.655,356.750,-92.590
1.848,-3.801,4.000,128.113,372.009,-36.316
0.279,-4.000,4.000,133.606,435.608,23.560
-1.457,-3.974,4.000,88.684,585.815,112.244
-2.776,-2.542,4.000,51.758,752.502,235.229
-3.636,-0.623,3.771,30.945,849.487,326.721
-4.000,1.263,2.294,9.888,867.920,353.638
-4.000,3.057,1.189,-6.348,882.385,333.191
-4.000,3.996,-0.822,11.292,865.356,221.924
-4.000,2.884,-1.933,51.025,737.488,-2.686
-4.000,0.213,-1.703,106.812,545.654,-215.820
-3.999,-2.336,-1.488,138.184,413.452,-295.776
-3.740,-3.630,-1.693,114.502,344.849,-224.365
